Timestamp,North,South,East,West,Total_Vehicles,Current_Green,Light_State,Elapsed_Time,FPS
2026-01-17 12:57:28,0,7,3,4,14,north,green,0.257993221282959,0
2026-01-17 12:57:29,0,8,5,2,15,north,green,1.269993543624878,9.982023966458122
2026-01-17 12:57:31,0,8,4,2,14,north,green,3.168475389480591,13.944256936062109
2026-01-17 12:57:32,0,8,4,3,15,north,green,4.16747522354126,0.9350334817596974
2026-01-17 12:57:33,0,9,3,4,16,north,yellow,5.170475244522095,13.958118695311429
2026-01-17 12:57:34,0,7,4,3,14,north,yellow,6.1974756717681885,13.182676709284182
2026-01-17 12:57:35,0,10,3,3,16,north,yellow,7.2204742431640625,14.27212018291308
2026-01-17 12:57:36,0,8,1,4,13,south,green,0.19900012016296387,13.170258492110664
2026-01-17 12:57:37,0,8,4,2,14,south,green,1.2350001335144043,13.92758710918251
2026-01-17 12:57:38,0,10,4,2,16,south,green,2.252000570297241,12.183611925944597
2026-01-17 12:57:39,0,10,5,3,18,south,green,3.2980010509490967,15.080219993820398
2026-01-17 12:57:40,0,8,5,4,17,south,green,4.308008193969727,13.220003813792376
2026-01-17 12:57:41,0,8,4,4,16,south,green,5.369011878967285,14.851387126661985
2026-01-17 12:57:43,0,7,5,3,15,south,green,6.9779276847839355,14.851387126661985
2026-01-17 12:57:44,0,8,4,2,14,south,green,8.04392695426941,4.987559552959648
2026-01-17 12:57:50,0,7,3,4,14,north,green,0.2579984664916992,0
2026-01-17 12:57:51,0,9,5,3,17,north,green,1.3320069313049316,10.934377633620857
2026-01-17 12:58:15,5,11,4,4,24,north,yellow,24.833073377609253,10.934377633620857
2026-01-17 12:59:27,0,5,4,4,13,south,green,0.0070002079010009766,0.46148553022043526
2026-01-17 12:59:28,0,7,5,3,15,south,green,1.027012586593628,0.04138526117569794
2026-01-17 13:01:06,9,16,2,1,28,south,yellow,98.54754447937012,15.716968922686709
2026-01-17 13:01:07,5,17,1,1,24,south,yellow,99.59254622459412,0.15381375568225272
2026-01-17 13:01:08,6,17,3,1,27,south,yellow,100.64055633544922,15.325654314435408
2026-01-17 13:01:09,8,16,1,1,26,north,green,0.08700132369995117,14.258538355317148
2026-01-17 13:01:10,4,18,2,2,26,north,green,1.0939998626708984,13.847712614050934
2026-01-17 13:01:11,3,20,2,2,27,north,green,2.167001485824585,13.930343367707508
2026-01-17 13:01:12,5,20,3,1,29,north,green,3.184999942779541,14.86987234427251
2026-01-17 13:01:13,4,17,1,3,25,north,green,4.21399998664856,13.793121462327584
2026-01-17 13:01:14,3,19,2,2,26,north,yellow,5.242016077041626,14.534852586246927
2026-01-17 13:01:15,9,20,2,2,33,north,yellow,6.278001308441162,13.64436779590048
2026-01-17 13:31:16,0,7,3,4,14,north,green,0.2738935947418213,0
2026-01-17 13:31:17,0,8,5,2,15,north,green,1.2878937721252441,10.487280655695075
2026-01-17 13:31:18,0,7,3,2,12,north,green,2.2998969554901123,13.409950587562005
2026-01-17 13:31:19,0,8,4,2,14,north,green,3.3428947925567627,13.930340062980425
2026-01-17 13:31:20,0,7,3,3,13,north,green,4.372896194458008,12.74512508937794
2026-01-17 13:31:21,0,9,4,4,17,north,yellow,5.424895763397217,14.506770949823723
2026-01-17 13:31:24,0,9,2,3,14,south,green,0.01000213623046875,14.506770949823723
2026-01-17 13:31:25,0,8,3,3,14,south,green,1.0170011520385742,3.2056847227915513
2026-01-17 13:31:26,0,8,4,2,14,south,green,2.0339999198913574,13.986028323489327
2026-01-17 13:31:27,0,11,4,2,17,south,green,3.0439999103546143,14.72029948525971
2026-01-17 13:31:28,0,10,3,4,17,south,green,4.115001440048218,12.858556928394947
2026-01-17 13:31:29,0,9,7,4,20,south,green,5.131000280380249,13.071876754466613
2026-01-17 13:31:30,0,6,5,3,14,south,green,6.206000089645386,13.793017784975964
2026-01-17 13:31:31,0,8,6,3,17,south,green,7.2210001945495605,12.048256706801043
2026-01-17 13:31:32,0,9,6,2,17,south,green,8.262007474899292,12.871326749183355
