Timestamp,North,South,East,West,Total_Vehicles,Current_Green,Light_State,Elapsed_Time,FPS
2026-01-15 08:22:29,0,7,3,4,14,north,green,0.22725844383239746,0
2026-01-15 08:22:30,0,8,5,3,16,north,green,1.2841148376464844,11.549929608088586
2026-01-15 08:22:31,0,6,3,2,11,north,green,2.291977643966675,16.41007437138744
2026-01-15 08:22:33,0,6,2,3,11,north,green,4.241810321807861,15.679732708719094
2026-01-15 08:22:34,0,6,4,2,12,north,yellow,5.250020265579224,0.8731070261286547
2026-01-15 08:22:36,0,9,2,2,13,north,yellow,6.313305377960205,16.92887883806098
2026-01-15 08:22:37,0,8,4,3,15,north,yellow,7.350927114486694,10.317052739856216
2026-01-15 08:22:38,0,8,3,2,13,south,green,0.293842077255249,16.328639458820106
2026-01-15 08:22:39,0,10,4,2,16,south,green,1.314138412475586,15.351738040150815
2026-01-15 08:22:40,0,10,5,5,20,south,green,2.3094513416290283,15.65903193297233
2026-01-15 08:22:41,0,9,6,4,19,south,green,3.329134702682495,12.998199473883075
2026-01-15 08:22:42,0,8,5,3,16,south,green,4.342760801315308,14.680842574017841
2026-01-15 08:22:43,0,8,5,3,16,south,green,5.373003959655762,12.85079876247967
2026-01-15 08:24:41,0,7,3,4,14,north,green,0.1565382480621338,0
2026-01-15 08:24:42,0,9,5,3,17,north,green,1.1799545288085938,12.484742548610651
2026-01-15 08:24:43,0,6,3,2,11,north,green,2.2291035652160645,16.263970997131008
2026-01-15 08:24:44,0,7,4,3,14,north,green,3.23752760887146,15.781988051485285
2026-01-15 08:24:45,0,6,3,2,11,north,green,4.274809837341309,15.988053665116674
2026-01-15 08:24:46,0,10,3,3,16,north,yellow,5.325154781341553,15.685123585253164
2026-01-15 08:24:47,0,8,4,2,14,north,yellow,6.3812339305877686,16.614023290287914
2026-01-15 08:24:48,0,9,4,3,16,north,yellow,7.384521007537842,14.907084928062268
2026-01-15 08:24:49,0,9,5,3,17,south,green,0.30399370193481445,17.464809428259333
2026-01-15 08:24:50,0,10,6,3,19,south,green,1.3401949405670166,14.980441832667426
2026-01-15 08:24:51,0,8,5,3,16,south,green,2.40114164352417,16.509410061401628
2026-01-15 08:24:52,0,9,6,3,18,south,green,3.4555273056030273,15.715132352645016
2026-01-15 08:27:28,0,0,0,0,0,north,green,0.14116454124450684,0
2026-01-15 08:27:29,0,0,8,13,21,north,green,1.1676990985870361,18.55675401660128
2026-01-15 08:27:30,0,0,8,9,17,north,green,2.1857590675354004,21.841170894277962
2026-01-15 08:27:31,0,0,9,11,20,north,green,3.1978883743286133,20.667520457424107
2026-01-15 08:27:32,0,0,6,7,13,north,green,4.2353675365448,20.844665322466135
2026-01-15 08:27:34,0,0,10,6,16,north,yellow,5.270076513290405,21.13010624970088
2026-01-15 08:27:35,0,0,10,10,20,north,yellow,6.283159255981445,19.97174445829022
2026-01-15 08:27:36,0,0,9,7,16,north,yellow,7.305542707443237,20.04388882517108
2026-01-15 08:27:37,0,0,10,11,21,west,green,0.31221985816955566,20.434107829351817
2026-01-15 08:27:38,0,0,8,10,18,west,green,1.3288097381591797,19.37511245319695
2026-01-15 08:27:39,0,0,9,11,20,west,green,2.364290475845337,19.218187133270348
2026-01-15 08:27:40,0,0,8,9,17,west,green,3.874927282333374,20.635843610600894
2026-01-15 08:27:41,0,0,7,7,14,west,green,4.916533946990967,10.891315458178033
2026-01-15 08:27:42,0,0,5,10,15,west,green,5.94606614112854,20.926189886764337
2026-01-15 08:27:43,0,0,4,6,10,west,green,6.992752313613892,21.119950048946265
2026-01-15 08:27:44,0,0,6,4,10,west,green,8.027315378189087,19.321613601724906
2026-01-15 08:27:45,0,0,1,6,7,west,yellow,9.051114320755005,21.269152789904545
2026-01-15 08:27:46,0,0,5,5,10,west,yellow,10.063267946243286,22.081656056816396
2026-01-15 08:27:47,0,0,2,2,4,west,yellow,11.082876443862915,21.098803326248166
2026-01-15 08:27:48,0,0,5,2,7,north,green,0.2202756404876709,20.320396439793473
2026-01-15 08:27:49,0,0,3,0,3,north,green,1.2261526584625244,21.847505670544894
2026-01-15 08:27:50,0,0,1,2,3,north,green,2.2382988929748535,21.84378192836683
2026-01-15 08:27:51,0,0,0,4,4,north,green,3.272953748703003,19.999909401350347
2026-01-15 08:27:52,0,0,1,5,6,north,green,4.288243532180786,20.91117631976297
2026-01-15 08:27:53,0,0,4,5,9,north,yellow,5.319836616516113,20.80185118664266
2026-01-15 08:27:54,0,0,5,9,14,north,yellow,6.324371337890625,20.63059451361618
2026-01-15 08:27:55,0,1,4,8,13,north,yellow,7.324921369552612,19.510609462331878
2026-01-15 08:27:57,1,0,2,9,12,west,green,0.3019390106201172,20.051696179881688
2026-01-15 08:27:58,1,0,4,10,15,west,green,1.3053257465362549,19.807469670534605
2026-01-15 08:27:59,0,0,7,10,17,west,green,2.340117931365967,19.978589115601867
2026-01-15 08:28:00,0,0,3,8,11,west,green,3.385242223739624,19.816528498841404
2026-01-15 08:28:01,0,0,3,9,12,west,green,4.429767608642578,20.796139225861896
2026-01-15 08:28:02,0,0,3,9,12,west,green,5.437336206436157,19.001587428148945
2026-01-15 08:28:03,0,0,3,9,12,west,green,6.448019742965698,20.223514784707067
2026-01-15 08:28:04,0,1,3,9,13,west,green,7.47828483581543,19.25585685221696
2026-01-15 08:28:05,0,0,5,8,13,west,green,8.527743101119995,19.939652479270368
2026-01-15 08:28:06,0,0,5,8,13,west,green,9.534849643707275,18.695750277825937
2026-01-15 08:28:07,0,0,3,10,13,west,green,10.562289953231812,19.516946382309456
2026-01-15 08:28:08,0,0,6,9,15,west,green,11.576039552688599,19.438124139158354
2026-01-15 08:28:09,0,0,6,10,16,west,green,12.626085042953491,19.041035132567117
2026-01-15 08:28:10,1,0,3,10,14,west,green,13.638548612594604,19.651351998422008
2026-01-15 08:28:11,0,1,5,7,13,west,green,14.659396648406982,18.460567101357118
2026-01-15 08:28:12,0,0,3,10,13,west,green,15.69996428489685,18.639720408085935
2026-01-15 08:28:13,0,0,2,8,10,west,green,16.72911262512207,19.69479043871732
2026-01-15 08:28:14,0,0,2,9,11,west,green,17.749002933502197,18.811250808176492
2026-01-15 08:28:15,0,0,6,5,11,west,green,18.795528650283813,19.48489553875153
2026-01-15 08:28:16,0,0,5,9,14,west,green,19.846730947494507,17.269298916183683
2026-01-15 08:28:17,0,0,6,8,14,west,green,20.908265113830566,17.746915341793528
2026-01-15 08:28:18,0,0,9,6,15,west,green,21.94850993156433,17.773035213445997
2026-01-15 08:28:19,0,0,6,5,11,west,yellow,23.067678451538086,17.458916868029064
2026-01-15 08:28:20,0,0,3,6,9,west,yellow,24.123789310455322,17.79730198011633
2026-01-15 08:28:21,0,0,9,4,13,west,yellow,25.148364543914795,17.490822107749388
2026-01-15 08:28:22,0,0,7,3,10,east,green,0.7525074481964111,20.083842837774423
2026-01-15 08:28:23,0,0,9,4,13,east,green,1.7707650661468506,20.690887521978688
2026-01-15 08:28:24,0,0,8,5,13,east,green,2.778831958770752,19.2120779054215
2026-01-15 08:28:25,0,0,5,6,11,east,green,3.8165931701660156,19.63919688342823
2026-01-15 08:28:26,0,0,4,3,7,east,green,4.8172218799591064,19.81084704598178
2026-01-15 08:28:27,0,0,8,5,13,east,green,5.866791009902954,19.292108218398987
2026-01-15 08:28:29,0,0,6,8,14,east,green,6.89309287071228,18.951621291834908
2026-01-15 08:28:30,0,0,10,9,19,east,green,7.929055452346802,19.413849764171683
2026-01-15 08:28:31,0,0,10,12,22,east,green,8.957847833633423,18.669383572667357
2026-01-15 08:28:32,0,0,11,11,22,east,yellow,9.996428966522217,19.012224690620453
2026-01-15 08:28:33,0,0,10,11,21,east,yellow,11.000152587890625,19.20309717921729
2026-01-15 08:28:34,0,0,10,10,20,east,yellow,12.068184852600098,18.30403031111105
2026-01-15 08:28:35,0,0,13,6,19,west,green,0.6150734424591064,14.626700919478768
2026-01-15 08:28:36,0,0,12,7,19,west,green,1.6380040645599365,15.855005633571883
2026-01-15 08:28:37,0,0,10,5,15,west,green,2.65516996383667,14.4714641157394
2026-01-15 08:28:38,0,0,14,3,17,west,green,3.6703953742980957,20.684774846221064
2026-01-15 08:28:39,0,0,11,8,19,west,green,4.7216057777404785,18.647078272227237
2026-01-15 08:28:40,0,0,4,7,11,west,yellow,5.747822046279907,18.926497051602944
2026-01-15 08:28:41,0,0,0,0,0,west,yellow,6.752225399017334,18.567091431742703
2026-01-15 08:34:14,0,0,0,0,0,north,green,0.26204895973205566,0
2026-01-15 08:34:15,0,0,8,9,17,north,green,1.2645978927612305,15.910209045809896
2026-01-15 08:34:17,0,0,7,12,19,north,green,2.5894763469696045,15.910209045809896
2026-01-15 08:34:18,0,0,8,11,19,north,green,3.639688491821289,8.839684470404046
2026-01-15 08:34:19,0,0,11,8,19,north,green,4.653615951538086,20.988153111340736
2026-01-15 08:34:20,0,0,7,6,13,north,yellow,5.681043386459351,20.711540849150662
2026-01-15 08:34:21,0,0,11,4,15,north,yellow,6.722918510437012,19.446555174673648
2026-01-15 08:34:22,0,0,12,8,20,north,yellow,7.764537334442139,20.175957958691235
2026-01-15 08:34:23,0,0,12,10,22,east,green,0.7686622142791748,21.12097006408528
2026-01-15 08:34:24,0,0,10,12,22,east,green,1.8101165294647217,20.200778533876637
2026-01-15 08:34:25,0,0,7,13,20,east,green,2.819305419921875,20.16411060360205
2026-01-15 08:34:26,0,0,8,12,20,east,green,3.838136911392212,20.808790305338373
2026-01-15 08:34:27,0,0,7,9,16,east,green,4.849429607391357,20.571401345870125
2026-01-15 08:34:28,0,0,6,8,14,east,yellow,5.894987344741821,19.7766914116724
2026-01-15 08:34:29,0,0,3,5,8,east,yellow,6.937194347381592,21.06880520804816
2026-01-15 08:34:30,0,0,4,4,8,east,yellow,7.935805797576904,21.122062701435688
2026-01-15 08:34:31,0,0,6,5,11,west,green,0.6620359420776367,19.987733739222346
2026-01-15 08:34:32,0,0,4,7,11,west,green,1.695986270904541,20.722753215624152
2026-01-15 08:34:33,0,0,3,3,6,west,green,2.717285633087158,21.263918206169564
2026-01-15 08:34:34,0,0,3,4,7,west,green,3.7358174324035645,20.535143315231494
2026-01-15 08:34:35,0,0,3,3,6,west,green,4.745221138000488,20.617874364472243
2026-01-15 08:34:36,0,0,1,2,3,west,yellow,5.75618314743042,19.853128735652316
2026-01-15 08:34:37,0,0,1,3,4,west,yellow,6.802127361297607,21.71967391309465
2026-01-15 08:34:38,0,0,0,2,2,west,yellow,7.832685470581055,20.114948849607156
2026-01-15 08:34:39,0,0,2,4,6,east,green,0.7452292442321777,20.33777554471659
2026-01-15 08:34:40,0,0,5,7,12,east,green,1.7620270252227783,21.02815263835557
2026-01-15 08:34:41,0,1,4,10,15,east,green,2.790907859802246,19.745014027406107
2026-01-15 08:34:42,0,0,6,12,18,east,green,3.7939822673797607,19.386293118549638
2026-01-15 08:34:44,1,0,3,13,17,east,green,4.8287036418914795,20.993733369307908
2026-01-15 08:34:45,1,0,4,11,16,east,yellow,5.858330726623535,20.25612199982798
2026-01-15 08:34:46,0,1,4,11,16,east,yellow,6.8771607875823975,19.462355437870098
2026-01-15 08:34:47,1,0,4,10,15,east,yellow,7.9030797481536865,20.611877097772368
2026-01-15 08:34:48,0,0,3,12,15,west,green,0.857799768447876,20.46945305339325
2026-01-15 08:34:49,0,0,2,10,12,west,green,1.8749651908874512,18.769510646967245
2026-01-15 08:34:50,0,0,2,10,12,west,green,2.8860950469970703,20.64560939324253
2026-01-15 08:34:51,0,0,3,9,12,west,green,3.8899877071380615,20.7688457354021
2026-01-15 08:34:52,0,0,4,7,11,west,green,4.94445538520813,19.88278822383344
2026-01-15 08:34:53,0,0,5,12,17,west,green,5.986067771911621,19.95315378744683
2026-01-15 08:34:54,0,0,2,9,11,west,green,7.010720491409302,21.121100594459993
2026-01-15 08:34:55,0,0,4,10,14,west,green,8.03464412689209,19.499801715244494
2026-01-15 08:34:56,0,0,6,11,17,west,green,9.048539876937866,20.529366328722947
2026-01-15 08:34:57,0,0,5,8,13,west,green,10.07769775390625,19.725893908813624
2026-01-15 08:34:58,0,0,6,9,15,west,green,11.131918907165527,19.395620948989375
2026-01-15 08:34:59,0,0,2,9,11,west,green,12.180349588394165,19.832925890974774
2026-01-15 08:35:00,0,0,2,8,10,west,green,13.200404167175293,20.157345613210417
2026-01-15 08:35:01,0,0,7,10,17,west,green,14.216718196868896,19.606794004981747
2026-01-15 08:35:02,0,0,5,8,13,west,green,15.228968620300293,18.61232893924935
2026-01-15 08:35:03,0,0,6,7,13,west,green,16.25497794151306,20.838796711421306
2026-01-15 08:35:04,0,0,7,7,14,west,green,17.27673864364624,20.427691089571834
2026-01-15 08:35:05,0,0,3,7,10,west,yellow,18.319000720977783,19.61257910336235
2026-01-15 08:35:06,0,0,6,5,11,west,yellow,19.34015727043152,21.1079348260714
2026-01-15 08:35:07,0,0,9,4,13,west,yellow,20.375962257385254,20.359583628913533
2026-01-15 08:35:08,0,0,9,5,14,east,green,0.8816907405853271,19.502562606290912
2026-01-15 08:35:09,0,0,6,5,11,east,green,1.888416051864624,20.184576236889995
2026-01-15 08:35:10,0,0,7,4,11,east,green,2.908586263656616,20.859711943980265
2026-01-15 08:35:11,0,0,9,3,12,east,green,3.9502623081207275,19.585246850080992
2026-01-15 08:35:12,0,0,8,2,10,east,green,4.992777585983276,20.168122827179314
2026-01-15 08:35:13,0,0,7,4,11,east,green,6.005107879638672,20.9792441762649
